AC.ID	geno	tment	Obs	HHMMSS	FTime	EBal.	Photo	Cond	Ci	FCnt	DCnt	Fo	Fm	Fo.	Fm.	Fs	Fv..Fm.	PhiPS2	Adark	RedAbs	BlueAbs	X.Blue	LeafAbs	PhiCO2	qP	qN	NPQ	ParIn.Fs	PS2.1	ETR	Trmmol	VpdL	CTleaf	Area	BLC_1	StmRat	BLCond	Tair	Tleaf	TBlk	CO2R	CO2S	H2OR	H2OS	RH_R	RH_S	Flow	PARi	PARo	Press	CsMch	HsMch	StableF	BLCslope	BLCoffst	f_parin	f_parout	alphaK	Status	fda	Trans	Tair_K	Twall_K	R.W.m2.	Tl.Ta	SVTleaf	h2o_i	h20diff	CTair	SVTair	CndTotal	vp_kPa	VpdA	CndCO2	Ci_Pa	Ci.Ca	RHsfc	C2sfc	AHs.Cs	PARabs	Fv.
102	46	co	56	0.632581019	1773.5	0	61.50416304	0.525892205	971.1016447	32	32	0	0	317.0734863	614.3815918	437.3791504	0.48391441	0.288098543	-1	0.87	0.92	8.880907059	0.874440454	0.035766477	0.595350205	1.937663092	-1	1998.522705	0.5	251.7389368	9.446971521	1.450505247	23.38080978	2	4.644859791	1	9.289719582	21.00776863	23.38080978	19.1505146	1248.544067	1200.008545	12.08004284	18.25985527	38.01392365	57.46078491	300.1538086	1998.492554	1525.89209	78.58040619	0.678495884	-1.522013903	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500769043	0.009446972	296.5308098	294.1577686	319.7588014	-0.492825889	2.885372091	36.71872202	18.45886675	22.19428921	2.68511215	0.497716416	1.434866844	1.250245306	0.313487147	76.30956169	0.809245608	51.07753681	1191.070641	0.026375271	1747.562735	297.3081055
102	46	co	77	0.639895833	2405	0	60.01777346	0.45613859	1193.399774	33	33	0	0	312.3466797	591.2128906	425.2165527	0.47168493	0.280772528	-1	0.87	0.92	8.901623726	0.874450812	0.034900182	0.595254396	1.89280991	-1	1998.18335	0.5	245.2987515	8.207796044	1.445409328	22.49662971	2	4.644859791	1	9.289719582	19.86139679	22.49662971	18.04042244	1500.393555	1452.464844	11.03201771	16.41062546	37.26085281	55.42720413	300.1929626	1999.370483	982.5553589	78.57959747	-0.01059103	-1.473016977	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500964813	0.008207796	295.6466297	293.0113968	319.8992702	-0.284212931	2.734949671	34.80483177	18.39420632	21.17901325	2.523522303	0.434789786	1.289540343	1.23398196	0.273584285	93.77687385	0.821637631	48.30004066	1443.742945	0.020078788	1748.351142	278.8662109
102	46	co	41	0.627349537	1321	0	59.94897551	0.597313124	757.9605201	31	31	0	0	319.4868164	631.8068848	448.3845215	0.494328371	0.290313967	-1	0.87	0.92	8.880907059	0.874440454	0.034873835	0.587289713	1.977567938	-1	2002.532227	0.5	254.1836956	10.95395062	1.49282868	23.09352684	2	4.644859791	1	9.289719582	21.11460495	23.09352684	19.25119781	1000.791077	953.8815918	9.916287422	17.09069633	30.99853325	53.42589188	300.1429138	1998.648682	1627.203979	78.57459259	1.578642368	-1.462834597	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500714569	0.010953951	296.2435268	294.2646049	319.7837819	-0.741089503	2.835723181	36.08956901	18.99887267	22.1040659	2.670394655	0.561227174	1.342894502	1.327500153	0.3538399	59.55643906	0.794606507	49.18557378	945.1696908	0.031196776	1747.69926	312.3200684
102	46	co	105	0.64962963	3246.5	0	59.55862072	0.433472268	1666.242003	34	34	0	0	310.7402344	567.098877	418.2341309	0.452052813	0.262502276	-1	0.87	0.92	8.92243576	0.874461218	0.034619653	0.580689399	1.8249934	-1	1999.477417	0.5	229.4880813	7.994849953	1.481552176	21.65119934	2	4.644859791	1	9.289719582	19.14972115	21.65119934	17.49992943	2000.422974	1950.358643	8.947788239	14.19817162	31.59803963	50.13914108	300.2195129	2000.380981	415.1408997	78.60385895	-0.8154006	-1.416666269	1	-1.355140209	7.355140209	1	0	0.159999996	111115	1.501097565	0.00799485	294.8011993	292.2997211	320.0609499	-0.239323481	2.597583255	33.04651056	18.84833895	20.40046024	2.405442204	0.414147523	1.116031079	1.289411125	0.260511706	130.9730514	0.854325951	44.18853907	1941.703469	0.013554121	1749.255589	256.3586426
102	46	co	29	0.623217593	963.5	0	57.52184212	0.695130775	594.2349292	30	30	0	0	329.8205566	671.9611816	478.3237305	0.509167247	0.288167615	-1	0.87	0.92	8.860287666	0.874430144	0.033441123	0.565958664	2.037353852	-1	1997.657715	0.5	251.6873418	12.30241453	1.455881573	22.69342422	2	4.644859791	1	9.289719582	21.1180191	22.69342422	19.24485016	799.9682007	755.4511719	8.636753082	16.69657516	26.99331474	52.18349075	300.180481	2001.299194	1709.224731	78.57543945	1.783659458	-1.448056459	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500902405	0.012302415	295.8434242	294.2680191	320.2078639	-0.959437271	2.767822304	35.22503117	18.528456	21.90572166	2.638288137	0.64673678	1.311940731	1.326347406	0.408296583	46.6922707	0.786596078	49.7573596	747.0919866	0.038310342	1749.996342	342.140625
102	46	co	14	0.618287037	537.5	0	54.1713715	0.833453776	434.0208509	29	29	0	0	338.3493652	683.6669922	487.8964844	0.50509624	0.286353605	-1	0.87	0.92	8.901623726	0.874450812	0.031574243	0.5669288	2.020594872	-1	2000.313843	0.5	250.4414358	13.24830656	1.326462072	22.01746178	2	4.644859791	1	9.289719582	21.41207504	22.01746178	19.78422165	600.6418457	559.6099854	8.248362541	16.92579269	25.31717491	51.9513092	300.1826172	1998.229858	1775.632813	78.57073212	1.691069126	-1.468507051	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500913086	0.013248307	295.1674618	294.562075	319.7167702	-1.085635938	2.656333995	33.80818689	16.88239419	21.71476841	2.60769778	0.764834463	1.329871924	1.277825856	0.483746741	34.10133601	0.775577388	52.98277749	551.737697	0.052020185	1747.353722	345.317627
102	46	co	8	0.616516204	384.5	0	49.91678625	0.848883887	352.0367394	28	28	0	0	343.1921387	677.7741699	490.869873	0.493648248	0.275761906	-1	0.87	0.92	8.901623726	0.874450812	0.029096887	0.558620247	1.9749117	-1	1998.252319	0.5	240.9295045	12.70666425	1.249970469	22.13175201	2	4.644859791	1	9.289719582	21.77186584	22.13175201	20.36241913	501.2060547	464.0195923	9.824727058	18.13724136	29.4965477	54.45301056	300.1787415	2001.147339	1734.420166	78.5639267	1.403532505	-1.534142733	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500893707	0.012706664	295.281752	294.9218658	320.1835671	-0.977287556	2.67490337	34.04747551	15.91023414	21.95180893	2.645718116	0.777808629	1.424932901	1.220785215	0.492052683	27.65738859	0.758667835	56.03588367	456.7655885	0.061237784	1749.904915	334.5820313
102	46	co	69.5	0.637609954	2207.75	0	38.61416151	0.716867031	269.1054245	31	31	0	0	353.1922608	661.3624268	495.0218506	0.461795328	0.249960623	-1	0.87	0.92	8.943395138	0.874471698	0.022644882	0.541795216	1.862195029	-1	2000.827942	0.5	218.6721327	11.62513371	1.369288291	22.14652348	2	4.644859791	1	9.289719582	23.02850914	22.14652348	22.61071778	400.2072907	371.6080628	9.030000447	16.64410496	25.25717354	46.50517273	300.2310181	2000.681885	981.3473131	78.59072495	1.87725687	-1.432437659	0.25	-1.355140209	7.355140209	1	0	0.159999996	111115	1.501155091	0.011625134	295.2965235	296.1785092	320.1090944	-0.731314334	2.677312554	34.06653343	17.42242847	22.58751631	2.750374587	0.66375208	1.308024263	1.442350324	0.419301481	21.14906372	0.724324152	51.19915297	365.9965782	0.054860822	1749.539703	308.170166
102	46	co	144	0.66275463	4380.5	0	26.10191975	0.452744848	178.4265161	36	36	0	0	337.6674805	653.4055176	496.9897461	0.483219117	0.239385446	-1	0.87	0.92	8.964354515	0.874482177	0.015476631	0.495397301	1.935056099	-1	1997.731689	0.5	209.1008842	8.252835857	1.465501584	22.17680359	2	4.644859791	1	9.289719582	20.66451263	22.17680359	19.59468079	300.440094	281.5070496	10.06653404	15.47838879	32.36600876	49.76625061	300.2702637	2002.50061	280.828949	78.60977936	1.904203892	-1.389131784	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.501351318	0.008252836	295.3268036	293.8145126	320.4000905	-0.240977965	2.682254311	34.12112759	18.6427388	21.42065811	2.561189214	0.431705213	1.216752727	1.344436486	0.271630316	14.02606906	0.633826103	46.57724071	277.7138681	0.043777266	1751.151094	315.7380371
102	46	co	150	0.664618056	4540.5	0	16.36804251	0.4135256	117.2524894	37	37	0	0	326.5605469	578.810791	442.8210449	0.435807777	0.234946805	-1	0.87	0.92	8.985462189	0.874492731	0.009934842	0.539106499	1.772445559	-1	1999.217163	0.5	205.3788527	7.599427758	1.47229822	21.9302063	2	4.644859791	1	9.289719582	20.49764633	21.9302063	19.79074287	199.5014343	187.650528	9.897352219	14.88326454	32.15014267	48.34616852	300.2990417	1999.096191	306.2633972	78.60741425	1.770018101	-1.350620508	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.501495209	0.007599428	295.0802063	293.6476463	319.8553835	-0.124191507	2.642233161	33.6130273	18.72976276	21.21392632	2.52893429	0.395902277	1.169934941	1.358999349	0.248964135	9.216915009	0.624844975	45.32725715	185.2718924	0.040044848	1748.195088	252.2502441
